Date; Close 
12.02.2008; 379,62 
13.02.2008; 390,66 
14.02.2008; 381,30 
15.02.2008; 379,04 
19.02.2008; 374,94 
20.02.2008; 375,66 
21.02.2008; 372,41 
22.02.2008; 376,81 
25.02.2008; 382,22 
26.02.2008; 385,02 
27.02.2008; 384,42 
28.02.2008; 379,95 
29.02.2008; 367,81 
03.03.2008; 364,04 
04.03.2008; 360,31 
05.03.2008; 364,53 
06.03.2008; 354,38 
07.03.2008; 352,97 
10.03.2008; 341,05 
11.03.2008; 350,21 
12.03.2008; 349,59 
13.03.2008; 349,95 
14.03.2008; 340,82 
17.03.2008; 336,29 
18.03.2008; 351,09 
19.03.2008; 341,18 
20.03.2008; 349,78 
24.03.2008; 364,25 
25.03.2008; 366,72 
26.03.2008; 363,06 
27.03.2008; 358,05 
28.03.2008; 352,08 
31.03.2008; 354,28 
01.04.2008; 365,58 
02.04.2008; 368,64 
03.04.2008; 373,68 
04.04.2008; 372,80 
07.04.2008; 374,15 
08.04.2008; 374,25 
09.04.2008; 363,95 
10.04.2008; 365,43 
11.04.2008; 356,48 
14.04.2008; 356,69 
15.04.2008; 356,30 
16.04.2008; 368,38 
17.04.2008; 365,78 
18.04.2008; 377,28 
21.04.2008; 380,14 
22.04.2008; 373,64 
23.04.2008; 384,04 
24.04.2008; 389,30 
25.04.2008; 393,28 
28.04.2008; 392,70 
29.04.2008; 398,99 
30.04.2008; 401,00 
01.05.2008; 407,40 
02.05.2008; 407,58 
05.05.2008; 405,20 
06.05.2008; 409,27 
07.05.2008; 403,35 
08.05.2008; 406,82 
09.05.2008; 402,00 
12.05.2008; 405,38 
13.05.2008; 405,16 
14.05.2008; 409,13 
15.05.2008; 418,64 
16.05.2008; 424,05 
19.05.2008; 420,87 
20.05.2008; 414,20 
21.05.2008; 406,32 
22.05.2008; 411,32 
23.05.2008; 408,83 
27.05.2008; 411,80 
28.05.2008; 415,49 
29.05.2008; 418,12 
30.05.2008; 422,64 
02.06.2008; 414,90 
03.06.2008; 413,37 
04.06.2008; 417,34 
05.06.2008; 427,04 
06.06.2008; 415,88 
09.06.2008; 412,32 
10.06.2008; 408,49 
11.06.2008; 396,85 
12.06.2008; 398,95 
13.06.2008; 407,21 
16.06.2008; 409,25 
17.06.2008; 407,97 
18.06.2008; 400,63 
19.06.2008; 403,26 
20.06.2008; 390,61 
23.06.2008; 384,62 
24.06.2008; 380,29 
25.06.2008; 386,71 
26.06.2008; 371,93 
27.06.2008; 370,28 
30.06.2008; 370,49 
01.07.2008; 366,60 
02.07.2008; 357,08 
03.07.2008; 357,00 
07.07.2008; 357,76 
08.07.2008; 366,08 
09.07.2008; 354,43 
10.07.2008; 355,03 
11.07.2008; 350,34 
14.07.2008; 348,86 
15.07.2008; 347,58 
16.07.2008; 352,24 
17.07.2008; 354,77 
18.07.2008; 354,07 
21.07.2008; 356,34 
22.07.2008; 355,92 
23.07.2008; 364,40 
24.07.2008; 358,49 
25.07.2008; 366,23 
28.07.2008; 358,75 
29.07.2008; 365,66 
30.07.2008; 366,12 
31.07.2008; 365,13 
01.08.2008; 356,20 
04.08.2008; 349,99 
05.08.2008; 358,04 
06.08.2008; 357,63 
07.08.2008; 352,11 
08.08.2008; 357,55 
11.08.2008; 363,88 
12.08.2008; 363,23 
13.08.2008; 361,56 
14.08.2008; 365,54 
15.08.2008; 369,44 
18.08.2008; 363,43 
19.08.2008; 356,11 
20.08.2008; 356,92 
21.08.2008; 355,73 
22.08.2008; 359,84 
25.08.2008; 351,39 
26.08.2008; 351,87 
27.08.2008; 356,58 
28.08.2008; 363,76 
29.08.2008; 357,68 
02.09.2008; 357,87 
03.09.2008; 354,01 
04.09.2008; 336,82 
05.09.2008; 335,36 
08.09.2008; 340,60 
09.09.2008; 327,60 
10.09.2008; 326,52 
11.09.2008; 326,25 
12.09.2008; 329,66 
15.09.2008; 311,55 
16.09.2008; 314,31 
17.09.2008; 294,36 
18.09.2008; 310,27 
19.09.2008; 329,48 
22.09.2008; 311,62 
23.09.2008; 303,94 
24.09.2008; 300,19 
25.09.2008; 305,86 
26.09.2008; 305,88 
29.09.2008; 276,73 
30.09.2008; 291,01 
01.10.2008; 288,68 
02.10.2008; 270,55 
03.10.2008; 266,94 
06.10.2008; 253,26 
07.10.2008; 237,51 
08.10.2008; 232,13 
09.10.2008; 216,26 
10.10.2008; 211,61 
13.10.2008; 240,30 
14.10.2008; 233,94 
15.10.2008; 210,14 
16.10.2008; 218,49 
17.10.2008; 224,30 
20.10.2008; 234,90 
21.10.2008; 222,80 
22.10.2008; 209,57 
23.10.2008; 204,03 
24.10.2008; 193,63 
27.10.2008; 192,21 
28.10.2008; 214,35 
29.10.2008; 215,79 
30.10.2008; 222,42 
31.10.2008; 221,89 
03.11.2008; 223,74 
04.11.2008; 231,20 
05.11.2008; 215,91 
06.11.2008; 205,68 
07.11.2008; 212,13 
10.11.2008; 209,23 
11.11.2008; 202,86 
12.11.2008; 188,99 
13.11.2008; 203,06 
14.11.2008; 193,07 
17.11.2008; 189,86 
18.11.2008; 186,06 
19.11.2008; 173,13 
20.11.2008; 163,45 
21.11.2008; 170,48 
24.11.2008; 186,07 
25.11.2008; 189,10 
26.11.2008; 200,10 
28.11.2008; 202,29 
01.12.2008; 185,64 
02.12.2008; 194,40 
03.12.2008; 199,37 
04.12.2008; 191,87 
05.12.2008; 199,78 
08.12.2008; 207,23 
09.12.2008; 204,89 
10.12.2008; 206,67 
11.12.2008; 199,65 
12.12.2008; 200,13 
15.12.2008; 194,53 
16.12.2008; 204,27 
17.12.2008; 204,22 
18.12.2008; 202,26 
19.12.2008; 203,08 
22.12.2008; 196,33 
23.12.2008; 193,96 
24.12.2008; 193,83 
26.12.2008; 196,05 
29.12.2008; 193,22 
30.12.2008; 197,37 
31.12.2008; 203,57 
02.01.2009; 213,31 
05.01.2009; 218,12 
06.01.2009; 227,42 
07.01.2009; 225,85 
08.01.2009; 235,06 
09.01.2009; 232,02 
12.01.2009; 220,46 
13.01.2009; 220,85 
14.01.2009; 209,86 
15.01.2009; 211,75 
16.01.2009; 213,21 
20.01.2009; 201,06 
21.01.2009; 211,52 
22.01.2009; 211,57 
23.01.2009; 214,35 
26.01.2009; 218,27 
27.01.2009; 219,33 
28.01.2009; 227,80 
29.01.2009; 220,26 
30.01.2009; 211,56 
02.02.2009; 213,04 
03.02.2009; 214,24 
04.02.2009; 212,22 
05.02.2009; 215,36 
06.02.2009; 223,14 
09.02.2009; 223,19 
10.02.2009; 214,80 
11.02.2009; 213,24 
12.02.2009; 214,78 
13.02.2009; 217,33 
17.02.2009; 207,31 
18.02.2009; 202,12 
19.02.2009; 199,55 
20.02.2009; 199,04 
23.02.2009; 192,82 
24.02.2009; 203,51 
25.02.2009; 201,96 
26.02.2009; 198,84 
27.02.2009; 200,80 
02.03.2009; 189,21 
03.03.2009; 186,82 
04.03.2009; 195,89 
05.03.2009; 188,49 
06.03.2009; 188,30 
09.03.2009; 186,12 
10.03.2009; 199,92 
11.03.2009; 203,25 
12.03.2009; 211,88 
13.03.2009; 213,14 
16.03.2009; 206,55 
17.03.2009; 214,08 
18.03.2009; 220,16 
19.03.2009; 220,88 
20.03.2009; 213,61 
23.03.2009; 225,94 
24.03.2009; 222,44 
25.03.2009; 223,79 
26.03.2009; 231,15 
27.03.2009; 229,38 
30.03.2009; 220,46 
31.03.2009; 223,85 
01.04.2009; 232,49 
02.04.2009; 243,23 
03.04.2009; 246,51 
06.04.2009; 242,28 
07.04.2009; 233,56 
08.04.2009; 238,33 
09.04.2009; 247,14 
13.04.2009; 243,41 
14.04.2009; 238,18 
15.04.2009; 241,26 
16.04.2009; 245,36 
17.04.2009; 247,01 
20.04.2009; 235,73 
21.04.2009; 241,22 
22.04.2009; 241,50 
23.04.2009; 242,76 
24.04.2009; 250,64 
27.04.2009; 249,64 
28.04.2009; 249,74 
29.04.2009; 254,93 
30.04.2009; 256,05 
01.05.2009; 258,57 
04.05.2009; 264,76 
05.05.2009; 268,01 
06.05.2009; 271,31 
07.05.2009; 263,03 
08.05.2009; 267,21 
11.05.2009; 264,50 
12.05.2009; 263,94 
13.05.2009; 253,37 
14.05.2009; 259,16 
15.05.2009; 256,44 
18.05.2009; 265,39 
19.05.2009; 267,77 
20.05.2009; 268,57 
21.05.2009; 265,84 
22.05.2009; 264,54 
26.05.2009; 272,67 
27.05.2009; 270,87 
28.05.2009; 273,93 
29.05.2009; 274,54 
01.06.2009; 280,98 
02.06.2009; 280,45 
03.06.2009; 273,24 
04.06.2009; 276,69 
05.06.2009; 276,98 
08.06.2009; 274,07 
09.06.2009; 277,88 
10.06.2009; 277,15 
11.06.2009; 285,51 
12.06.2009; 285,56 
15.06.2009; 278,69 
16.06.2009; 273,93 
17.06.2009; 272,95 
18.06.2009; 272,76 
19.06.2009; 269,69 
22.06.2009; 262,97 
23.06.2009; 265,57 
24.06.2009; 269,99 
25.06.2009; 274,70 
26.06.2009; 277,71 
29.06.2009; 279,65 
30.06.2009; 276,62 
01.07.2009; 276,54 
02.07.2009; 269,95 
06.07.2009; 266,53 
07.07.2009; 260,06 
08.07.2009; 257,30 
09.07.2009; 259,42 
10.07.2009; 258,92 
13.07.2009; 262,75 
14.07.2009; 264,73 
15.07.2009; 273,73 
16.07.2009; 275,97 
17.07.2009; 277,37 
20.07.2009; 281,60 
21.07.2009; 282,73 
22.07.2009; 283,13 
23.07.2009; 288,89 
24.07.2009; 286,71 
27.07.2009; 285,59 
28.07.2009; 285,49 
29.07.2009; 282,76 
30.07.2009; 283,87 
31.07.2009; 281,68 
03.08.2009; 286,95 
04.08.2009; 287,24 
05.08.2009; 284,26 
06.08.2009; 277,21 
07.08.2009; 277,94 
10.08.2009; 275,98 
11.08.2009; 273,35 
12.08.2009; 276,50 
13.08.2009; 280,38 
14.08.2009; 276,21 
17.08.2009; 265,94 
18.08.2009; 269,91 
19.08.2009; 269,65 
20.08.2009; 274,56 
21.08.2009; 277,56 
24.08.2009; 275,54 
25.08.2009; 274,76 
26.08.2009; 274,89 
27.08.2009; 274,26 
28.08.2009; 274,53 
31.08.2009; 270,57 
01.09.2009; 265,25 
02.09.2009; 266,72 
03.09.2009; 270,08 
04.09.2009; 274,46 
08.09.2009; 277,94 
09.09.2009; 282,32 
10.09.2009; 289,65 
11.09.2009; 292,62 
14.09.2009; 292,48 
15.09.2009; 296,07 
16.09.2009; 299,31 
17.09.2009; 296,08 
18.09.2009; 298,57 
21.09.2009; 301,68 
22.09.2009; 304,53 
23.09.2009; 299,57 
24.09.2009; 293,87 
25.09.2009; 293,55 
28.09.2009; 299,23 
29.09.2009; 297,93 
30.09.2009; 298,18 
01.10.2009; 286,75 
02.10.2009; 284,52 
05.10.2009; 290,60 
06.10.2009; 293,15 
07.10.2009; 293,36 
08.10.2009; 294,54 
09.10.2009; 295,16 
12.10.2009; 295,35 
